avtor,ocena,stevilo_ocen,stevilo_strani,cas_branja,nagrajena,id,naslov,url
Evald Flisar,4.0,1,231,7-8 ur,False,trgovec-z-dusami,Trgovec z dušami,https://www.dobreknjige.si/knjige/trgovec-z-dusami/
Kim Hye-Jin,4.0,1,160,5-6 ur,False,moja-hci,Moja hči,https://www.dobreknjige.si/knjige/moja-hci/
C Quinn,4.0,1,462,15-16 ur,False,pozigalec,Požigalec,https://www.dobreknjige.si/knjige/pozigalec/
C Quinn,0.0,0,85,2-3 ur,False,smrtna-magija,Smrtna magija,https://www.dobreknjige.si/knjige/smrtna-magija/
Jens Liljestrand,0.0,0,438,14-15 ur,False,tudi-ce-se-vse-konca,Tudi če se vse konča,https://www.dobreknjige.si/knjige/tudi-ce-se-vse-konca/
Vinko Möderndorfer,4.0,4,281,9-10 ur,False,odstevanje-roman-o-casu-in-poti,Odštevanje : roman o času in poti,https://www.dobreknjige.si/knjige/odstevanje-roman-o-casu-in-poti/
Daniel Höra,0.0,0,117,3-4 ur,False,tarca,Tarča,https://www.dobreknjige.si/knjige/tarca/
Aleš Šteger,5.0,1,679,22-23 ur,False,na-kraju-zapisano,Na kraju zapisano,https://www.dobreknjige.si/knjige/na-kraju-zapisano/
Colleen Hoover,4.8,5,288,9-10 ur,False,tako-popolno,Tako popolno,https://www.dobreknjige.si/knjige/tako-popolno/
Alena Schröder,4.7,16,325,10-11 ur,False,mladenka-pri-oknu-vecerna-svetloba-modra-obleka,"Mladenka pri oknu, večerna svetloba, modra obleka",https://www.dobreknjige.si/knjige/mladenka-pri-oknu-vecerna-svetloba-modra-obleka/
Charles Burns,3.8,4,365,12-13 ur,True,crna-luknja,Črna luknja,https://www.dobreknjige.si/knjige/crna-luknja/
Richard Osman,4.3,6,411,13-14 ur,False,strel-v-prazno,Strel v prazno,https://www.dobreknjige.si/knjige/strel-v-prazno/
Roman Rozina,5.0,1,175,5-6 ur,False,tujintuj,Tujintuj,https://www.dobreknjige.si/knjige/tujintuj/
Cristina Morales,0.0,0,113,3-4 ur,False,bojevniki,Bojevniki,https://www.dobreknjige.si/knjige/bojevniki/
Freida McFadden,4.3,23,329,10-11 ur,False,hisna-pomocnica,Hišna pomočnica,https://www.dobreknjige.si/knjige/hisna-pomocnica/
Daniel Höra,0.0,0,147,4-5 ur,False,prijateljstvo-pa-kaj-se,Prijateljstvo? Pa kaj še &#8212;,https://www.dobreknjige.si/knjige/prijateljstvo-pa-kaj-se/
Kelly McDaniel,4.0,1,272,9-10 ur,False,hrepenenje-po-mami-kako-naj-odrasle-hcere-razumejo-in-prebolijo-pomanjkanje-ljubece-nege-varnosti-in-vzgoje,Hrepenenje po mami : kako naj odrasle hčere razumejo in preb [...],https://www.dobreknjige.si/knjige/hrepenenje-po-mami-kako-naj-odrasle-hcere-razumejo-in-prebolijo-pomanjkanje-ljubece-nege-varnosti-in-vzgoje/
Nathalie Skowronek,4.0,2,119,3-4 ur,True,zemljevid-obzalovanj,Zemljevid obžalovanj,https://www.dobreknjige.si/knjige/zemljevid-obzalovanj/
Susanne Fülscher,0.0,0,101,3-4 ur,False,potem-si-ga-pa-kupi,Potem si ga pa kupi,https://www.dobreknjige.si/knjige/potem-si-ga-pa-kupi/
Alma M. Karlin,0.0,0,119,3-4 ur,False,japonske-novele,Japonske novele,https://www.dobreknjige.si/knjige/japonske-novele/
Damien Boyd,4.0,2,211,7-8 ur,False,vranov-let,Vranov let,https://www.dobreknjige.si/knjige/vranov-let/
Tina Gorenjak,4.3,3,309,10-11 ur,False,najti-ljubezen,Najti ljubezen,https://www.dobreknjige.si/knjige/najti-ljubezen/
Susanna Tamaro,4.7,3,246,8-9 ur,False,velika-ljubezenska-zgodba,Velika ljubezenska zgodba,https://www.dobreknjige.si/knjige/velika-ljubezenska-zgodba/
László Krasznahorkai,2.5,4,333,11-12 ur,True,satanov-tango,Satanov tango,https://www.dobreknjige.si/knjige/satanov-tango/
Esad Babačić,4.5,2,277,9-10 ur,False,balkonci,Balkonci,https://www.dobreknjige.si/knjige/balkonci/
Anne Mette Hancock,4.4,5,301,10-11 ur,False,brazgotine,Brazgotine,https://www.dobreknjige.si/knjige/brazgotine/
Tamara Geratič,3.5,2,190,6-7 ur,False,videz-stvari-roman,Videz stvari : roman,https://www.dobreknjige.si/knjige/videz-stvari-roman/
Colleen Hoover,3.8,6,304,10-11 ur,False,9-november,9. november,https://www.dobreknjige.si/knjige/9-november/
Boštjan Videmšek,4.0,1,239,7-8 ur,False,vojni-dnevnik,Vojni dnevnik,https://www.dobreknjige.si/knjige/vojni-dnevnik/
Mike Gayle,3.5,2,374,12-13 ur,False,vsi-ti-osamljeni-ljudje,Vsi ti osamljeni ljudje,https://www.dobreknjige.si/knjige/vsi-ti-osamljeni-ljudje/
Andrej E. Skubic,5.0,1,431,14-15 ur,False,pa-ceprav-buldozer,Pa čeprav buldožer,https://www.dobreknjige.si/knjige/pa-ceprav-buldozer/
Frank Herbert,5.0,1,387,12-13 ur,False,bozanski-imperator-pescenega-planeta,Božanski imperator peščenega planeta,https://www.dobreknjige.si/knjige/bozanski-imperator-pescenega-planeta/
Eva Baltasar,4.0,3,128,4-5 ur,True,permafrost-2,Permafrost,https://www.dobreknjige.si/knjige/permafrost-2/
Anja Mugerli,4.2,13,299,9-10 ur,True,pricakovanja,Pričakovanja,https://www.dobreknjige.si/knjige/pricakovanja/
Stacy Willingham,4.6,5,414,13-14 ur,False,iskra-v-temi,Iskra v temi,https://www.dobreknjige.si/knjige/iskra-v-temi/
Lenart Zajc,4.3,3,237,7-8 ur,False,odred,Odred,https://www.dobreknjige.si/knjige/odred/
Feri Lainšček,4.6,9,343,11-12 ur,False,kurji-pastir-knj-2-petelinje-jajce,"Kurji pastir. Knj. 2, Petelinje jajce",https://www.dobreknjige.si/knjige/kurji-pastir-knj-2-petelinje-jajce/
Katarina Keček,3.8,4,449,14-15 ur,False,umetnost-zavijanja-z-ocmi,Umetnost zavijanja z očmi,https://www.dobreknjige.si/knjige/umetnost-zavijanja-z-ocmi/
Cvetka Bevc,4.5,2,155,5-6 ur,False,ptici,Ptiči,https://www.dobreknjige.si/knjige/ptici/
Susan Hill,4.0,1,128,4-5 ur,False,moz-na-sliki,Mož na sliki,https://www.dobreknjige.si/knjige/moz-na-sliki/
Ericka Waller,5.0,2,356,11-12 ur,False,pasji-dnevi-zgodba-o-ljubezni-izgubi-in-pasjih-prijateljih,"Pasji dnevi : zgodba o ljubezni, izgubi in pasjih prijatelji [...]",https://www.dobreknjige.si/knjige/pasji-dnevi-zgodba-o-ljubezni-izgubi-in-pasjih-prijateljih/
Donatien Alphonse François de Sade,4.0,2,104,3-4 ur,False,incest,Incest,https://www.dobreknjige.si/knjige/incest/
Emily St. John Mandel,4.3,4,395,13-14 ur,False,postaja-enajst-2,Postaja Enajst,https://www.dobreknjige.si/knjige/postaja-enajst-2/
Svetlana Aleksievič,5.0,1,357,11-12 ur,True,zadnje-price-solo-za-otroski-glas,Zadnje priče: (solo za otroški glas),https://www.dobreknjige.si/knjige/zadnje-price-solo-za-otroski-glas/
Mathieu Bablet,4.5,2,267,8-9 ur,False,ogljik-silicij,Ogljik &#038; Silicij,https://www.dobreknjige.si/knjige/ogljik-silicij/
Svetlana Aleksievič,4.0,1,446,14-15 ur,False,cas-iz-druge-roke,Čas iz druge roke,https://www.dobreknjige.si/knjige/cas-iz-druge-roke/
Dragan Radulović,0.0,0,427,14-15 ur,False,auschwitz-cafe-distopija,Auschwitz Café : distopija,https://www.dobreknjige.si/knjige/auschwitz-cafe-distopija/
Alena Mornštajnová,4.8,11,292,9-10 ur,True,november,November,https://www.dobreknjige.si/knjige/november/
Fleur Jaeggy,0.0,0,109,3-4 ur,False,proleterka,Proleterka,https://www.dobreknjige.si/knjige/proleterka/
Lado Kralj,4.1,7,295,9-10 ur,True,ne-bom-se-vec-drsal-na-bajerju,Ne bom se več drsal na bajerju,https://www.dobreknjige.si/knjige/ne-bom-se-vec-drsal-na-bajerju/
Agata Tomažič,4.3,9,228,7-8 ur,False,cmrljev-zleb,Čmrljev žleb,https://www.dobreknjige.si/knjige/cmrljev-zleb/
Javier Castillo,4.0,2,413,13-14 ur,False,snezna-deklica,Snežna deklica,https://www.dobreknjige.si/knjige/snezna-deklica/
Michel Houellebecq,0.0,0,92,3-4 ur,False,lanzarote-pripoved,Lanzarote : pripoved,https://www.dobreknjige.si/knjige/lanzarote-pripoved/
Julian Barnes,5.0,2,128,4-5 ur,False,lege-zivljenja,Lege življenja,https://www.dobreknjige.si/knjige/lege-zivljenja/
Igor Štiks,4.0,3,291,9-10 ur,False,w,W,https://www.dobreknjige.si/knjige/w/
Greer Hendricks,4.0,2,444,14-15 ur,False,zlati-par,Zlati par,https://www.dobreknjige.si/knjige/zlati-par/
Per Petterson,3.5,2,244,8-9 ur,False,moski-na-mojem-mestu,Moški na mojem mestu,https://www.dobreknjige.si/knjige/moski-na-mojem-mestu/
Annelies Verbeke,0.0,0,165,5-6 ur,False,aleluja,Aleluja,https://www.dobreknjige.si/knjige/aleluja/
Luna Al Mousli,0.0,0,124,4-5 ur,False,solza-in-nasmeh-moje-otrostvo-v-damasku,Solza in nasmeh : moje otroštvo v Damasku,https://www.dobreknjige.si/knjige/solza-in-nasmeh-moje-otrostvo-v-damasku/
Cal Newport,0.0,0,245,8-9 ur,False,digitalni-minimalizem-kako-ziveti-bolje-z-manj-tehnologije,Digitalni minimalizem : kako živeti bolje z manj tehnologije,https://www.dobreknjige.si/knjige/digitalni-minimalizem-kako-ziveti-bolje-z-manj-tehnologije/
