avtor,ocena,stevilo_ocen,stevilo_strani,cas_branja,nagrajena,id,naslov,url
Marc Levy,4.0,2,284,9-10 ur,False,zaljubljeni-duh,Zaljubljeni duh,https://www.dobreknjige.si/knjige/zaljubljeni-duh/
Kristina Sabaliauskaite,4.8,4,410,13-14 ur,False,petrova-imperatorica,Petrova imperatorica,https://www.dobreknjige.si/knjige/petrova-imperatorica/
Daisy Johnson,4.0,6,182,6-7 ur,False,sestri,Sestri,https://www.dobreknjige.si/knjige/sestri/
Karsten Dusse,4.7,6,368,12-13 ur,False,moriti-cujece-upocasnjen-kriminalni-roman,Moriti čuječe : upočasnjen kriminalni roman,https://www.dobreknjige.si/knjige/moriti-cujece-upocasnjen-kriminalni-roman/
Ram Cunta,4.3,3,104,3-4 ur,False,tik-je-sel-v-gozd-po-drva,Tik je šel v gozd po drva,https://www.dobreknjige.si/knjige/tik-je-sel-v-gozd-po-drva/
Richard Osman,4.5,8,420,14-14 ur,False,moz-ki-je-umrl-dvakrat,"Mož, ki je umrl dvakrat",https://www.dobreknjige.si/knjige/moz-ki-je-umrl-dvakrat/
Zora Del Buono,4.0,2,344,11-12 ur,False,marsalinja,Maršalinja,https://www.dobreknjige.si/knjige/marsalinja/
Immanuel Maurice Wallerstein,0.0,0,231,7-8 ur,False,ali-ima-kapitalizem-prihodnost,Ali ima kapitalizem prihodnost?,https://www.dobreknjige.si/knjige/ali-ima-kapitalizem-prihodnost/
Javier Cercas,3.5,2,467,15-16 ur,False,slepar,Slepar,https://www.dobreknjige.si/knjige/slepar/
Franc Mikša,0.0,0,279,9-10 ur,False,njegova-ekscelenca-christian-grasset,Njegova Ekscelenca Christian Grasset,https://www.dobreknjige.si/knjige/njegova-ekscelenca-christian-grasset/
Matt Haig,4.3,12,331,11-12 ur,False,polnocna-knjiznica,Polnočna knjižnica,https://www.dobreknjige.si/knjige/polnocna-knjiznica/
Arkadij Natanovič Strugackij,3.7,3,219,7-8 ur,False,tezko-je-biti-bog,Težko je biti bog,https://www.dobreknjige.si/knjige/tezko-je-biti-bog/
Irena Štaudohar,4.7,7,222,7-8 ur,False,fizolozofija,Fižolozofija,https://www.dobreknjige.si/knjige/fizolozofija/
Tracy Guzeman,3.7,3,372,12-13 ur,False,teznost-ptic,Težnost ptic,https://www.dobreknjige.si/knjige/teznost-ptic/
Nita Prose,4.1,10,319,10-11 ur,False,sobarica,Sobarica,https://www.dobreknjige.si/knjige/sobarica/
Nina Majer,5.0,1,243,8-9 ur,False,roza-za-konfliktno-osebo,Roža za konfliktno osebo,https://www.dobreknjige.si/knjige/roza-za-konfliktno-osebo/
Dora Benčevič,4.3,4,73,2-3 ur,False,dekle-ki-se-ni-balo-medvedov,"Dekle, ki se ni balo medvedov",https://www.dobreknjige.si/knjige/dekle-ki-se-ni-balo-medvedov/
Andraž Polič,0.0,0,64,2-3 ur,False,kirka-na-jadranu,Kirka na Jadranu,https://www.dobreknjige.si/knjige/kirka-na-jadranu/
Tom Inglis,0.0,0,194,6-7 ur,False,pasja-ljubezen-zgodba-o-cloveku-psu-in-zivljenju-polnem-ljubezni-in-skrivnosti,"Pasja ljubezen : zgodba o človeku, psu in življenju, polnem [...]",https://www.dobreknjige.si/knjige/pasja-ljubezen-zgodba-o-cloveku-psu-in-zivljenju-polnem-ljubezni-in-skrivnosti/
Erich Maria Remarque,5.0,1,259,8-9 ur,False,nebesa-ne-poznajo-izbrancev,Nebesa ne poznajo izbrancev,https://www.dobreknjige.si/knjige/nebesa-ne-poznajo-izbrancev/
Milan Kleč,0.0,0,275,9-10 ur,False,nekaj-centrov,Nekaj centrov,https://www.dobreknjige.si/knjige/nekaj-centrov/
Lisa Jewell,4.5,17,365,12-13 ur,False,druzina-nad-nami,Družina nad nami,https://www.dobreknjige.si/knjige/druzina-nad-nami/
Pénélope Bagieu,4.3,3,299,9-10 ur,False,carovnice,Čarovnice,https://www.dobreknjige.si/knjige/carovnice/
Mia Kankimäki,4.8,10,446,14-15 ur,False,zenske-na-katere-mislim-ponoci,"Ženske, na katere mislim ponoči",https://www.dobreknjige.si/knjige/zenske-na-katere-mislim-ponoci/
Žiga Valetič,0.0,0,162,5-6 ur,False,strip-vraca-udarec-56-7-celovecernih-stripovskih-zgodb-slovenskih-avtoric-in-avtorjev-2001-2021,Strip vrača udarec : 56 + 7 celovečernih stripovskih zgodb s [...],https://www.dobreknjige.si/knjige/strip-vraca-udarec-56-7-celovecernih-stripovskih-zgodb-slovenskih-avtoric-in-avtorjev-2001-2021/
Chimamanda Ngozi Adichie,4.7,3,75,2-3 ur,False,zapiski-o-zalovanju,Zapiski o žalovanju,https://www.dobreknjige.si/knjige/zapiski-o-zalovanju/
Ian McEwan,5.0,3,421,14-15 ur,False,solar,Solar,https://www.dobreknjige.si/knjige/solar/
Manu Larcenet,5.0,1,204,6-7 ur,False,blast-2-apokalipsa-po-svetem-jackyju,"Blast. 2, Apokalipsa po svetem Jackyju",https://www.dobreknjige.si/knjige/blast-2-apokalipsa-po-svetem-jackyju/
Banana Yoshimoto,4.3,4,99,3-4 ur,False,kuhinja,Kuhinja,https://www.dobreknjige.si/knjige/kuhinja/
Albina Ficko,0.0,0,79,2-3 ur,False,od-tu-in-tam-kratke-zgodbe,Od tu in tam : kratke zgodbe,https://www.dobreknjige.si/knjige/od-tu-in-tam-kratke-zgodbe/
Nona Fernández,0.0,0,196,6-7 ur,False,neznana-dimenzija,Neznana dimenzija,https://www.dobreknjige.si/knjige/neznana-dimenzija/
Jennifer Saint,4.0,2,334,11-12 ur,False,ariadna,Ariadna,https://www.dobreknjige.si/knjige/ariadna/
Maya Angelou,4.7,3,181,6-7 ur,False,pismo-hcerki,Pismo hčerki,https://www.dobreknjige.si/knjige/pismo-hcerki/
Nika Kovač,4.5,4,212,7-8 ur,False,tu-sem-zgodbe-ki-jih-ne-zelimo-slisati,"Tu sem! : zgodbe, ki jih ne želimo slišati",https://www.dobreknjige.si/knjige/tu-sem-zgodbe-ki-jih-ne-zelimo-slisati/
Lisa Gray,4.0,1,309,10-11 ur,False,izginuli,Izginuli,https://www.dobreknjige.si/knjige/izginuli/
C Quinn,3.0,1,415,13-14 ur,False,lovec-na-tatove-kljuc-morilec-skrivnost,"Lovec na tatove : ključ, morilec, skrivnost &#8212;",https://www.dobreknjige.si/knjige/lovec-na-tatove-kljuc-morilec-skrivnost/
Laura Repovš,4.0,1,245,8-9 ur,False,ljubezen-v-casu-covida-literarno-branje-studentk-in-studentov-programa-kreativno-pisanje-poezija-pod-mentorstvom-prof-dr-borisa-a-novaka-ter-pesnic-in-pesnikov-pisateljic-in-pisateljev-milana,Ljubezen v času Covida : literarno branje študentk in študen [...],https://www.dobreknjige.si/knjige/ljubezen-v-casu-covida-literarno-branje-studentk-in-studentov-programa-kreativno-pisanje-poezija-pod-mentorstvom-prof-dr-borisa-a-novaka-ter-pesnic-in-pesnikov-pisateljic-in-pisateljev-milana/
Fiona Lucas,4.5,2,407,13-14 ur,False,ne-reci-mi-adijo,Ne reci mi adijo,https://www.dobreknjige.si/knjige/ne-reci-mi-adijo/
Pavel Brycz,0.0,0,494,16-17 ur,False,patriarhata-davno-minula-slava,Patriarhata davno minula slava,https://www.dobreknjige.si/knjige/patriarhata-davno-minula-slava/
Susanna Clarke,4.4,10,269,8-9 ur,False,piranesi,Piranesi,https://www.dobreknjige.si/knjige/piranesi/
Paul Finch,4.0,3,456,15-16 ur,False,zrtvovani,Žrtvovani,https://www.dobreknjige.si/knjige/zrtvovani/
Patrick White,0.0,0,523,17-18 ur,True,voss,Voss,https://www.dobreknjige.si/knjige/voss/
France Filipič,0.0,0,,,False,slava-klavora,Slava Klavora,https://www.dobreknjige.si/knjige/slava-klavora/
Laura Dave,4.0,3,320,10-11 ur,False,njegove-zadnje-besede,Njegove zadnje besede,https://www.dobreknjige.si/knjige/njegove-zadnje-besede/
Svetlana Velmar-Janković,5.0,5,221,7-8 ur,True,lagum,Lagum,https://www.dobreknjige.si/knjige/lagum/
Christy Lefteri,3.7,6,318,10-11 ur,False,ptice-pevke,Ptice pevke,https://www.dobreknjige.si/knjige/ptice-pevke/
Ula Vesel,0.0,0,127,4-5 ur,False,dnevnik-namisljene-resnicnosti,Dnevnik namišljene resničnosti,https://www.dobreknjige.si/knjige/dnevnik-namisljene-resnicnosti/
Selvedin Avdić,5.0,1,184,6-7 ur,False,sedem-strahov,Sedem strahov,https://www.dobreknjige.si/knjige/sedem-strahov/
Dmitrij Alekseevič Gluhovskij,0.0,0,378,12-13 ur,False,tekst,Tekst,https://www.dobreknjige.si/knjige/tekst/
Magda Szabó,4.3,3,262,8-9 ur,True,vrata,Vrata,https://www.dobreknjige.si/knjige/vrata/
Michelle Moran,2.0,1,525,17-18 ur,False,nefretete,Nefretete,https://www.dobreknjige.si/knjige/nefretete/
Caroline De Maigret,0.0,0,263,8-9 ur,False,starejsa-si-boljsa-si-ampak-starejsa,"Starejša si, boljša si, ampak starejša",https://www.dobreknjige.si/knjige/starejsa-si-boljsa-si-ampak-starejsa/
Nora Lavrin,0.0,0,126,4-5 ur,False,slovenija-poletje-1928-ilustrirani-dnevnik-s-porocnega-potovanja-nore-in-janka-lavrina,Slovenija : poletje 1928 : ilustrirani dnevnik s poročnega p [...],https://www.dobreknjige.si/knjige/slovenija-poletje-1928-ilustrirani-dnevnik-s-porocnega-potovanja-nore-in-janka-lavrina/
Michelle Marly,3.5,2,318,10-11 ur,False,edith-piaf-in-pesem-ljubezni,Édith Piaf in pesem ljubezni,https://www.dobreknjige.si/knjige/edith-piaf-in-pesem-ljubezni/
Najib Mahfuz,0.0,0,338,11-12 ur,True,cukrarska-ulica-3-del-kairske-trilogije,Cukrarska ulica : 3. del Kairske trilogije,https://www.dobreknjige.si/knjige/cukrarska-ulica-3-del-kairske-trilogije/
,5.0,3,295,9-10 ur,False,draga-kristina-zgodba-urednice-in-pisateljice-kristine-brenkove,Draga Kristina : zgodba urednice in pisateljice Kristine Bre [...],https://www.dobreknjige.si/knjige/draga-kristina-zgodba-urednice-in-pisateljice-kristine-brenkove/
Nika Kovač,4.7,3,148,4-5 ur,False,pisma-tebi,Pisma tebi,https://www.dobreknjige.si/knjige/pisma-tebi/
Rick Riordan,5.0,2,512,17-18 ur,False,junaki-olimpa-5-kri-olimpa,"Junaki Olimpa. [5], Kri Olimpa",https://www.dobreknjige.si/knjige/junaki-olimpa-5-kri-olimpa/
Barbara Volčič,4.5,2,90,3-3 ur,False,poceni-okvirji-male-eroticne-prigode,Počeni okvirji : male erotične prigode,https://www.dobreknjige.si/knjige/poceni-okvirji-male-eroticne-prigode/
Daniel Cole,4.0,2,408,13-14 ur,False,posnemovalec,Posnemovalec,https://www.dobreknjige.si/knjige/posnemovalec/
Vandana Shiva,0.0,0,173,5-6 ur,False,ena-zemlja-eno-clovestvo-proti-1-razbijanje-iluzij-sejanje-svobode,"Ena Zemlja, eno človeštvo proti 1 % : razbijanje iluzij, sej [...]",https://www.dobreknjige.si/knjige/ena-zemlja-eno-clovestvo-proti-1-razbijanje-iluzij-sejanje-svobode/
Miha Stopar,0.0,0,287,9-10 ur,False,herman-viteznik,Herman Vitežnik,https://www.dobreknjige.si/knjige/herman-viteznik/
Tomo Podstenšek,4.0,4,325,10-11 ur,False,sodba-v-imenu-ljudstva-roman,Sodba v imenu ljudstva : roman,https://www.dobreknjige.si/knjige/sodba-v-imenu-ljudstva-roman/
Manu Larcenet,5.0,3,204,6-7 ur,False,blast-1-masa-sala,"Blast. 1, Masa sala",https://www.dobreknjige.si/knjige/blast-1-masa-sala/
Daniel Höra,4.0,1,120,4-4 ur,False,igra,Igra,https://www.dobreknjige.si/knjige/igra/
Ta-Nehisi Coates,5.0,1,125,4-5 ur,False,med-svetom-in-mano,Med svetom in mano,https://www.dobreknjige.si/knjige/med-svetom-in-mano/
Mór Jókai,4.3,3,413,13-14 ur,False,ubogi-bogatasi,Ubogi bogataši,https://www.dobreknjige.si/knjige/ubogi-bogatasi/
Teja Močnik,5.0,1,106,3-4 ur,False,kamni-z-marsa,Kamni z Marsa,https://www.dobreknjige.si/knjige/kamni-z-marsa/
Slavo Šerc,5.0,3,207,6-7 ur,False,zgodbe-iz-nemcije-antologija-sodobne-nemske-kratke-proze-po-letu-2000,Zgodbe iz Nemčije : antologija sodobne nemške kratke proze p [...],https://www.dobreknjige.si/knjige/zgodbe-iz-nemcije-antologija-sodobne-nemske-kratke-proze-po-letu-2000/
Sabina Štrubelj,3.8,6,269,8-9 ur,False,hotel-lavanda,Hotel Lavanda,https://www.dobreknjige.si/knjige/hotel-lavanda/
Martin Walser,5.0,1,245,8-9 ur,False,ljubeci-moski-roman,Ljubeči moški : roman,https://www.dobreknjige.si/knjige/ljubeci-moski-roman/
Roman Rozina,4.5,6,539,17-18 ur,True,sto-let-slepote,Sto let slepote,https://www.dobreknjige.si/knjige/sto-let-slepote/
Morgan Housel,5.0,2,321,10-11 ur,False,psihologija-denarja-brezcasni-nauki-o-premozenju-pohlepu-in-sreci,"Psihologija denarja : brezčasni nauki o premoženju, pohlepu [...]",https://www.dobreknjige.si/knjige/psihologija-denarja-brezcasni-nauki-o-premozenju-pohlepu-in-sreci/
Raymond Chandler,4.7,3,220,7-8 ur,False,veliki-spanec,Veliki spanec,https://www.dobreknjige.si/knjige/veliki-spanec/
Holly Ringland,4.3,4,383,12-13 ur,False,njeno-izgubljeno-cvetje,Njeno izgubljeno cvetje,https://www.dobreknjige.si/knjige/njeno-izgubljeno-cvetje/
Tone Partljič,3.7,3,122,4-5 ur,True,hotel-sem-prijeti-sonce,Hotel sem prijeti sonce,https://www.dobreknjige.si/knjige/hotel-sem-prijeti-sonce/
Hervé Guibert,3.0,1,67,2-3 ur,False,nor-na-vincenta,Nor na Vincenta,https://www.dobreknjige.si/knjige/nor-na-vincenta/
Peter Handke,0.0,0,651,21-22 ur,False,moje-leto-v-nikogarsnjem-zalivu-pravljica-iz-sodobnih-casov,Moje leto v nikogaršnjem zalivu : pravljica iz sodobnih časo [...],https://www.dobreknjige.si/knjige/moje-leto-v-nikogarsnjem-zalivu-pravljica-iz-sodobnih-casov/
Elizabeth Strout,4.3,7,300,10-10 ur,True,olive-kitteridge,Olive Kitteridge,https://www.dobreknjige.si/knjige/olive-kitteridge/
Sebastian Fitzek,4.5,4,,,False,pot-domov,Pot domov,https://www.dobreknjige.si/knjige/pot-domov/
Heather Morris,4.5,2,447,14-15 ur,False,tri-sestre,Tri sestre,https://www.dobreknjige.si/knjige/tri-sestre/
Betty Ren Wright,5.0,2,176,5-6 ur,False,dvojni-umor-v-hisi-lutk,Dvojni umor v hiši lutk,https://www.dobreknjige.si/knjige/dvojni-umor-v-hisi-lutk/
Kate Elizabeth Russell,3.8,4,430,14-15 ur,False,moja-temna-vanessa,Moja temna Vanessa,https://www.dobreknjige.si/knjige/moja-temna-vanessa/
Luigi Ballerini,4.7,3,276,9-10 ur,False,mira-ve-vse,Mira ve vse,https://www.dobreknjige.si/knjige/mira-ve-vse/
Barry Jonsberg,4.8,4,261,8-9 ur,False,ujemi-me-ce-padem,"Ujemi me, če padem",https://www.dobreknjige.si/knjige/ujemi-me-ce-padem/
Aleksandra Jelušič,4.0,1,123,4-5 ur,False,brezobrazne-zgodbe-z-notranje-strani-koze-v-proznem-zapisu-in-fotografijah,"Brezobrazne : zgodbe z notranje strani kože, v proznem zapis [...]",https://www.dobreknjige.si/knjige/brezobrazne-zgodbe-z-notranje-strani-koze-v-proznem-zapisu-in-fotografijah/
Zlatka Rakovec-Felser,0.0,0,296,9-10 ur,False,mati-kraljev-elizabeta-vnukinja-barbare-celjske,"Mati kraljev : Elizabeta, vnukinja Barbare Celjske",https://www.dobreknjige.si/knjige/mati-kraljev-elizabeta-vnukinja-barbare-celjske/
Andrej E. Skubic,0.0,0,437,14-15 ur,False,krasni-dnevi,Krasni dnevi,https://www.dobreknjige.si/knjige/krasni-dnevi/
Rick Riordan,5.0,3,599,19-20 ur,False,junaki-olimpa-4-hadova-hisa,"Junaki Olimpa. [4], Hadova hiša",https://www.dobreknjige.si/knjige/junaki-olimpa-4-hadova-hisa/
Aksinja Kermauner,0.0,0,14,1 ur,False,v-vrtincu-crk-o-deklici-s-skotopicnim-sindromom-ali-sindrom-helen-irlen,V vrtincu črk: o deklici s skotopičnim sindromom ali sindrom [...],https://www.dobreknjige.si/knjige/v-vrtincu-crk-o-deklici-s-skotopicnim-sindromom-ali-sindrom-helen-irlen/
Izar Lunaček,3.0,1,,,False,sveto-smesno-stripovski-esej-o-hecni-plati-religije,Sveto &#038; smešno : stripovski esej o hecni plati religije,https://www.dobreknjige.si/knjige/sveto-smesno-stripovski-esej-o-hecni-plati-religije/
Max Seeck,4.0,3,379,12-13 ur,False,lov-na-carovnice,Lov na čarovnice,https://www.dobreknjige.si/knjige/lov-na-carovnice/
Laura Baldini,4.3,3,302,10-11 ur,False,maria-montessori-uciteljica-ki-je-zivljenje-posvetila-otrokom,"Maria Montessori : učiteljica, ki je življenje posvetila otr [...]",https://www.dobreknjige.si/knjige/maria-montessori-uciteljica-ki-je-zivljenje-posvetila-otrokom/
Miklavž Komelj,0.0,0,230,7-8 ur,False,skrij-me-sneg,"Skrij me, sneg",https://www.dobreknjige.si/knjige/skrij-me-sneg/
Alex Michaelides,3.6,5,367,12-13 ur,False,mladenke,Mladenke,https://www.dobreknjige.si/knjige/mladenke/
Tina Arnuš Pupis,5.0,1,36,1-2 ur,False,zebra-v-ogledalu,Zebra v ogledalu,https://www.dobreknjige.si/knjige/zebra-v-ogledalu/
Marjolijn Hof,0.0,0,,,False,majhna-moznost,Majhna možnost,https://www.dobreknjige.si/knjige/majhna-moznost/
Nicolai Houm,0.0,0,158,5-6 ur,False,vsi-otroci-so-iz-ognja,Vsi otroci so iz ognja,https://www.dobreknjige.si/knjige/vsi-otroci-so-iz-ognja/
Karmen Jenič,5.0,1,222,7-8 ur,False,rabi-rabuni-ali-zgodba-o-bogu-ki-je-hodil-v-osnovno-solo,"Rabi Rabuni ali Zgodba o Bogu, ki je hodil v osnovno šolo",https://www.dobreknjige.si/knjige/rabi-rabuni-ali-zgodba-o-bogu-ki-je-hodil-v-osnovno-solo/
Robert Pfaller,0.0,0,281,9-10 ur,False,za-kaj-se-splaca-ziveti-elementi-materialisticne-filozofije,Za kaj se splača živeti : elementi materialistične filozofij [...],https://www.dobreknjige.si/knjige/za-kaj-se-splaca-ziveti-elementi-materialisticne-filozofije/
Manuel Vilas,0.0,0,369,12-13 ur,False,ordesa,Ordesa,https://www.dobreknjige.si/knjige/ordesa/
Piia Leino,4.4,5,271,9-10 ur,True,nebesa,Nebesa,https://www.dobreknjige.si/knjige/nebesa/
Sylvain Neuvel,4.1,7,91,3-4 ur,False,preizkus,Preizkus,https://www.dobreknjige.si/knjige/preizkus/
Alain Ayroles,4.0,1,159,5-6 ur,False,prevarantska-indija,Prevarantska Indija,https://www.dobreknjige.si/knjige/prevarantska-indija/
Gašper Krajnc,4.5,6,65,2-3 ur,False,mestne-ptice,Mestne ptice,https://www.dobreknjige.si/knjige/mestne-ptice/
Bezinović &#8211; Haydon Iva,0.0,0,,,False,mala-mara-in-veliko-drevo,Mala Mara in veliko drevo,https://www.dobreknjige.si/knjige/mala-mara-in-veliko-drevo/
Tove Alsterdal,3.5,2,271,9-10 ur,False,slepi-rov,Slepi rov,https://www.dobreknjige.si/knjige/slepi-rov/
Olga Tokarczuk,4.7,3,243,8-9 ur,False,pravek-in-drugi-casi,Pravek in drugi časi,https://www.dobreknjige.si/knjige/pravek-in-drugi-casi/
Milan Kleč,0.0,0,221,7-8 ur,False,moji-spomini-na-morje,Moji spomini na morje,https://www.dobreknjige.si/knjige/moji-spomini-na-morje/
Taylor Jenkins Reid,4.4,13,503,16-17 ur,False,vseh-sedem-moz-evelyn-hugo,Vseh sedem mož Evelyn Hugo,https://www.dobreknjige.si/knjige/vseh-sedem-moz-evelyn-hugo/
Rick Riordan,5.0,3,584,19-20 ur,False,junaki-olimpa-3-atenino-znamenje,"Junaki Olimpa. [3], Atenino znamenje",https://www.dobreknjige.si/knjige/junaki-olimpa-3-atenino-znamenje/
Deborah Levy,4.5,4,143,4-5 ur,False,cena-zivljenja,Cena življenja,https://www.dobreknjige.si/knjige/cena-zivljenja/
Ivana Šojat,5.0,2,395,13-14 ur,False,ezan,Ezan,https://www.dobreknjige.si/knjige/ezan/
Anamarija Lukovac,0.0,0,257,8-9 ur,False,cvetenje-premisljevanja-o-zivljenju,Cvetenje : premišljevanja o življenju,https://www.dobreknjige.si/knjige/cvetenje-premisljevanja-o-zivljenju/
Diane Chamberlain,5.0,6,456,15-16 ur,False,hci-iz-prihodnosti,Hči iz prihodnosti,https://www.dobreknjige.si/knjige/hci-iz-prihodnosti/
Manka Kremenšek Križman,5.0,1,184,6-7 ur,False,tujci,Tujci,https://www.dobreknjige.si/knjige/tujci/
Neli Kodrič Filipić,5.0,2,289,9-10 ur,False,fronta,Fronta,https://www.dobreknjige.si/knjige/fronta/
Edward St. Aubyn,4.5,2,474,15-16 ur,False,patrick-melrose-1-3,Patrick Melrose : 1-3,https://www.dobreknjige.si/knjige/patrick-melrose-1-3/
Rick Riordan,5.0,2,512,17-18 ur,False,junaki-olimpa-neptunov-sin,Junaki Olimpa. Neptunov sin,https://www.dobreknjige.si/knjige/junaki-olimpa-neptunov-sin/
Jedrt Lapuh Maležič,4.5,6,233,7-8 ur,False,napol-morilke,Napol morilke,https://www.dobreknjige.si/knjige/napol-morilke/
Christelle Dabos,4.7,3,367,12-13 ur,False,zrcalka-knj-3-spomin-babilona,"Zrcalka. Knj. 3, Spomin Babilona",https://www.dobreknjige.si/knjige/zrcalka-knj-3-spomin-babilona/
Barbara O&#8217;Neal,4.6,5,361,12-13 ur,False,ko-smo-verjeli-v-morske-deklice,Ko smo verjeli v morske deklice,https://www.dobreknjige.si/knjige/ko-smo-verjeli-v-morske-deklice/
Colson Whitehead,4.7,9,213,7-8 ur,True,fantje-iz-nickla,Fantje iz Nickla,https://www.dobreknjige.si/knjige/fantje-iz-nickla/
Alexander McCall Smith,4.0,9,231,7-8 ur,False,oddelek-za-obcutljive-zlocine,Oddelek za občutljive zločine,https://www.dobreknjige.si/knjige/oddelek-za-obcutljive-zlocine/
Candice Carty-Williams,3.9,7,405,13-14 ur,False,queenie,Queenie,https://www.dobreknjige.si/knjige/queenie/
Suzanne Collins,4.5,2,428,14-15 ur,False,balada-o-pticah-pevkah-in-kacah,Balada o pticah pevkah in kačah,https://www.dobreknjige.si/knjige/balada-o-pticah-pevkah-in-kacah/
Milan Petek Levokov,0.0,0,343,11-12 ur,False,ljudje-na-burji,Ljudje na burji,https://www.dobreknjige.si/knjige/ljudje-na-burji/
Javier Castillo,4.0,2,340,11-12 ur,False,vse-kar-se-je-zgodilo-z-mirando-huff,"Vse, kar se je zgodilo z Mirando Huff",https://www.dobreknjige.si/knjige/vse-kar-se-je-zgodilo-z-mirando-huff/
J. K. Rowling,5.0,3,903,30-31 ur,False,nemirna-kri,Nemirna kri,https://www.dobreknjige.si/knjige/nemirna-kri/
Amma Darko,0.0,0,222,7-8 ur,False,brez-obraza,Brez obraza,https://www.dobreknjige.si/knjige/brez-obraza/
Rick Riordan,5.0,2,548,18-19 ur,False,junaki-olimpa-izgubljeni-junak,Junaki Olimpa. Izgubljeni junak,https://www.dobreknjige.si/knjige/junaki-olimpa-izgubljeni-junak/
Miha Mazzini,4.0,1,97,3-4 ur,False,sprava-domacijski-roman-s-poanto,Sprava : domačijski roman s poanto,https://www.dobreknjige.si/knjige/sprava-domacijski-roman-s-poanto/
Tomo Podstenšek,4.8,4,255,8-9 ur,False,zgodbe-za-lazji-konec-sveta,Zgodbe za lažji konec sveta,https://www.dobreknjige.si/knjige/zgodbe-za-lazji-konec-sveta/
John Fowles,4.8,5,2,1 ur,False,mag,Mag,https://www.dobreknjige.si/knjige/mag/
Chad Harbach,3.0,1,667,22-23 ur,False,umetnost-obrambe-in-napada,Umetnost obrambe in napada,https://www.dobreknjige.si/knjige/umetnost-obrambe-in-napada/
Muanis Sinanović,3.6,5,113,3-4 ur,True,krhke-karavane,Krhke karavane,https://www.dobreknjige.si/knjige/krhke-karavane/
Janko Valjavec,5.0,2,163,5-6 ur,False,grobar,Grobar,https://www.dobreknjige.si/knjige/grobar/
Annie Robertson,4.0,1,299,9-10 ur,False,mamma-mia-moje-grsko-poletje,Mamma mia! Moje grško poletje,https://www.dobreknjige.si/knjige/mamma-mia-moje-grsko-poletje/
Jorge Icaza,0.0,0,246,8-9 ur,False,huairapamuske-sinovi-vetra-roman,Huairapamuške : sinovi vetra : roman,https://www.dobreknjige.si/knjige/huairapamuske-sinovi-vetra-roman/
Cvetka Lipuš,4.5,2,87,2-3 ur,False,odhajanje-za-zacetnike,Odhajanje za začetnike,https://www.dobreknjige.si/knjige/odhajanje-za-zacetnike/
Irena Svetek,4.8,31,397,13-14 ur,False,rdeca-kapica,Rdeča kapica,https://www.dobreknjige.si/knjige/rdeca-kapica/
Michel Houellebecq,3.0,1,276,9-10 ur,False,platforma,Platforma,https://www.dobreknjige.si/knjige/platforma/
Sarah Penner,4.3,9,318,10-11 ur,False,izginula-lekarna,Izginula lekarna,https://www.dobreknjige.si/knjige/izginula-lekarna/
Jenny Jägerfeld,5.0,2,223,7-8 ur,False,kraljica-smeha,Kraljica smeha,https://www.dobreknjige.si/knjige/kraljica-smeha/
Saša Stanišić,0.0,0,325,10-11 ur,True,cigav-si,Čigav si,https://www.dobreknjige.si/knjige/cigav-si/
Uwe Timm,3.0,2,272,9-10 ur,False,rdece,Rdeče,https://www.dobreknjige.si/knjige/rdece/
Peter Terrin,3.5,2,206,6-7 ur,True,cuvaj,Čuvaj,https://www.dobreknjige.si/knjige/cuvaj/
Sally Hepworth,4.3,3,344,11-12 ur,False,moja-tasca,Moja tašča,https://www.dobreknjige.si/knjige/moja-tasca/
Benjamin Okorn,4.0,3,155,5-6 ur,False,ona-je-ana,Ona je Ana,https://www.dobreknjige.si/knjige/ona-je-ana/
Esad Babačić,4.5,4,92,3-4 ur,False,vcasih,Včasih,https://www.dobreknjige.si/knjige/vcasih/
Astrid Lindgren,0.0,0,183,6-7 ur,False,vojni-dnevniki-1939-1945,Vojni dnevniki 1939-1945,https://www.dobreknjige.si/knjige/vojni-dnevniki-1939-1945/
Boštjan Gorenc,4.9,7,76,2-3 ur,False,reformatorji-v-stripu-ali-kako-smo-slovenci-dobili-prvo-res-dooooolgo-knjigo-in-eno-krajso-ki-je-opisala-kako-pisemo,Reformatorji v stripu ali kako smo Slovenci dobili prvo res [...],https://www.dobreknjige.si/knjige/reformatorji-v-stripu-ali-kako-smo-slovenci-dobili-prvo-res-dooooolgo-knjigo-in-eno-krajso-ki-je-opisala-kako-pisemo/
Gašper Kralj,0.0,0,249,8-9 ur,True,skrbine,Škrbine,https://www.dobreknjige.si/knjige/skrbine/
Jerneja Ferlež,4.5,2,58,1-2 ur,False,kako-je-bilo-ko-se-ni-bilo-stedilnikov,"Kako je bilo, ko še ni bilo štedilnikov",https://www.dobreknjige.si/knjige/kako-je-bilo-ko-se-ni-bilo-stedilnikov/
Irena Štaudohar,4.4,9,316,10-11 ur,False,kaj-hoce-zenska,Kaj hoče ženska?,https://www.dobreknjige.si/knjige/kaj-hoce-zenska/
Elton John,4.5,2,344,11-12 ur,False,jaz,Jaz,https://www.dobreknjige.si/knjige/jaz/
Holly Black,3.5,2,377,12-13 ur,False,okrutni-princ,Okrutni princ,https://www.dobreknjige.si/knjige/okrutni-princ/
Greer Hendricks,3.5,6,444,14-15 ur,False,anonimno-dekle,Anonimno dekle,https://www.dobreknjige.si/knjige/anonimno-dekle/
